Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2017-10-18,94,14,20,@,DAL,W 117-111,240,20,11,6,13,18,27,5,4,15,19,240,48,94,0.511,39,76,0.513,9,18,0.5,12,15,0.8,117,38,86,0.442,21,41,0.512,17,45,0.378,18,21,0.857,111,240,14,36,50,9,32,41
2,ATL,2017-10-20,95,6,19,@,CHO,L 91-109,240,19,11,4,13,29,17,5,4,21,18,240,36,95,0.379,29,65,0.446,7,30,0.233,12,14,0.857,91,37,86,0.43,26,50,0.52,11,36,0.306,24,30,0.8,109,240,6,32,38,12,45,57
3,ATL,2017-10-22,94,16,21,@,BRK,L 104-116,240,21,6,2,16,25,27,12,8,18,27,240,32,94,0.34,25,67,0.373,7,27,0.259,33,36,0.917,104,41,87,0.471,30,60,0.5,11,27,0.407,23,34,0.676,116,240,16,32,48,13,38,51
4,ATL,2017-10-23,76,6,14,@,MIA,L 93-104,240,14,9,1,20,17,21,12,6,19,19,240,36,76,0.474,29,59,0.492,7,17,0.412,14,18,0.778,93,39,85,0.459,25,48,0.521,14,37,0.378,12,18,0.667,104,240,6,35,41,10,31,41
5,ATL,2017-10-26,81,7,22,@,CHI,L 86-91,240,22,10,5,10,23,20,5,4,13,15,240,32,81,0.395,21,53,0.396,11,28,0.393,11,13,0.846,86,31,86,0.36,24,54,0.444,7,32,0.219,22,29,0.759,91,240,7,33,40,18,44,62
6,ATL,2017-10-27,89,11,23,,DEN,L 100-105,240,23,7,4,12,21,25,8,4,11,12,240,37,89,0.416,23,56,0.411,14,33,0.424,12,12,1,100,42,91,0.462,38,71,0.535,4,20,0.2,17,23,0.739,105,240,11,32,43,11,35,46
7,ATL,2017-10-29,77,3,27,,MIL,L 106-117,240,27,9,2,16,21,30,9,3,14,27,240,36,77,0.468,23,48,0.479,13,29,0.448,21,26,0.808,106,44,81,0.543,31,55,0.564,13,26,0.5,16,21,0.762,117,240,3,28,31,5,38,43
8,ATL,2017-11-01,94,12,22,@,PHI,L 109-119,240,22,11,4,18,28,36,10,4,16,26,240,41,94,0.436,33,71,0.465,8,23,0.348,19,27,0.704,109,46,99,0.465,33,64,0.516,13,35,0.371,14,25,0.56,119,240,12,37,49,15,38,53
9,ATL,2017-11-03,81,5,16,,HOU,L 104-119,240,16,8,8,18,16,28,14,4,12,16,240,39,81,0.481,28,48,0.583,11,33,0.333,15,18,0.833,104,42,89,0.472,26,42,0.619,16,47,0.34,19,23,0.826,119,240,5,36,41,9,35,44
10,ATL,2017-11-05,86,11,24,@,CLE,W 117-115,240,24,4,6,17,20,27,6,6,13,29,240,41,86,0.477,30,61,0.492,11,25,0.44,24,34,0.706,117,42,96,0.438,32,60,0.533,10,36,0.278,21,23,0.913,115,240,11,33,44,15,32,47
11,ATL,2017-11-06,81,5,24,,BOS,L 107-110,240,24,8,4,14,22,28,3,3,13,21,240,39,81,0.481,26,55,0.473,13,26,0.5,16,20,0.8,107,39,81,0.481,25,45,0.556,14,36,0.389,18,22,0.818,110,240,5,31,36,7,35,42
12,ATL,2017-11-10,89,11,28,@,DET,L 104-111,240,28,11,7,15,21,23,7,5,17,18,240,44,89,0.494,36,65,0.554,8,24,0.333,8,11,0.727,104,39,89,0.438,27,59,0.458,12,30,0.4,21,27,0.778,111,240,11,34,45,20,31,51
13,ATL,2017-11-11,83,10,19,@,WAS,L 94-113,240,19,11,1,24,23,22,14,10,23,22,240,34,83,0.41,20,50,0.4,14,33,0.424,12,17,0.706,94,42,78,0.538,35,54,0.648,7,24,0.292,22,28,0.786,113,240,10,22,32,11,31,42
14,ATL,2017-11-13,87,10,25,@,NOP,L 105-106,240,25,14,1,16,18,31,10,5,19,13,240,40,87,0.46,23,51,0.451,17,36,0.472,8,9,0.889,105,41,75,0.547,28,42,0.667,13,33,0.394,11,17,0.647,106,240,10,26,36,7,31,38
15,ATL,2017-11-15,79,9,40,,SAC,W 126-80,240,40,9,6,18,23,18,12,2,12,19,240,50,79,0.633,34,47,0.723,16,32,0.5,10,16,0.625,126,31,88,0.352,25,60,0.417,6,28,0.214,12,20,0.6,80,240,9,44,53,11,18,29
16,ATL,2017-11-18,78,6,24,,BOS,L 99-110,240,24,7,1,13,19,21,9,6,15,22,240,37,78,0.474,28,54,0.519,9,24,0.375,16,20,0.8,99,39,82,0.476,23,48,0.479,16,34,0.471,16,20,0.8,110,240,6,29,35,9,32,41
17,ATL,2017-11-20,85,9,21,@,SAS,L 85-96,240,21,7,7,15,15,29,7,5,18,17,240,37,85,0.435,29,55,0.527,8,30,0.267,3,8,0.375,85,40,89,0.449,30,58,0.517,10,31,0.323,6,6,1,96,240,9,29,38,14,38,52
18,ATL,2017-11-22,83,9,26,,LAC,L 103-116,240,26,10,2,15,20,30,7,4,15,15,240,40,83,0.482,30,54,0.556,10,29,0.345,13,15,0.867,103,44,76,0.579,29,46,0.63,15,30,0.5,13,19,0.684,116,240,9,27,36,6,27,33
19,ATL,2017-11-24,99,13,30,,NYK,W 116-104,240,30,7,2,9,16,30,1,9,20,19,240,47,99,0.475,34,68,0.5,13,31,0.419,9,12,0.75,116,40,78,0.513,28,48,0.583,12,30,0.4,12,14,0.857,104,240,13,27,40,5,33,38
20,ATL,2017-11-25,75,7,18,,TOR,L 78-112,240,18,9,1,18,15,31,10,3,16,22,240,26,75,0.347,20,48,0.417,6,27,0.222,20,23,0.87,78,46,84,0.548,33,52,0.635,13,32,0.406,7,9,0.778,112,240,7,25,32,11,35,46
21,ATL,2017-11-30,79,8,24,,CLE,L 114-121,240,24,9,4,17,20,30,9,5,19,20,240,41,79,0.519,29,48,0.604,12,31,0.387,20,24,0.833,114,41,79,0.519,23,40,0.575,18,39,0.462,21,27,0.778,121,240,8,21,29,12,28,40
22,ATL,2017-12-02,99,13,18,@,BRK,W 114-102,240,18,12,5,8,19,26,1,8,19,18,240,47,99,0.475,37,72,0.514,10,27,0.37,10,14,0.714,114,34,82,0.415,17,40,0.425,17,42,0.405,17,21,0.81,102,240,13,34,47,12,34,46
23,ATL,2017-12-04,82,9,18,,BRK,L 90-110,240,18,9,2,18,19,29,7,6,22,28,240,30,82,0.366,21,52,0.404,9,30,0.3,21,27,0.778,90,41,85,0.482,26,49,0.531,15,36,0.417,13,15,0.867,110,240,9,29,38,12,40,52
24,ATL,2017-12-06,93,11,25,@,ORL,L 106-110 (OT),265,25,7,3,17,16,17,9,7,16,23,265,40,93,0.43,29,66,0.439,11,27,0.407,15,20,0.75,106,46,98,0.469,40,70,0.571,6,28,0.214,12,18,0.667,110,265,11,38,49,13,39,52
25,ATL,2017-12-09,80,9,33,,ORL,W 117-110,240,33,7,6,12,13,39,7,2,12,24,240,41,80,0.513,24,47,0.511,17,33,0.515,18,25,0.72,117,45,92,0.489,32,58,0.552,13,34,0.382,7,8,0.875,110,240,9,31,40,10,29,39
26,ATL,2017-12-10,77,6,22,@,NYK,L 107-111,240,22,5,4,16,28,16,9,4,12,30,240,37,77,0.481,28,46,0.609,9,31,0.29,24,30,0.8,107,39,80,0.488,34,63,0.54,5,17,0.294,28,34,0.824,111,240,6,29,35,6,27,33
27,ATL,2017-12-12,92,10,26,@,CLE,L 114-123,240,26,8,4,10,17,35,5,2,13,18,240,43,92,0.467,27,56,0.482,16,36,0.444,12,13,0.923,114,48,86,0.558,28,48,0.583,20,38,0.526,7,10,0.7,123,240,10,27,37,6,31,37
28,ATL,2017-12-14,70,7,28,,DET,L 91-105,240,28,6,6,16,12,26,10,3,15,23,240,32,70,0.457,21,39,0.538,11,31,0.355,16,26,0.615,91,41,90,0.456,28,60,0.467,13,30,0.433,10,12,0.833,105,240,7,27,34,14,32,46
29,ATL,2017-12-15,77,7,27,@,MEM,L 94-96,240,27,12,5,17,19,21,12,6,21,24,240,34,77,0.442,22,46,0.478,12,31,0.387,14,16,0.875,94,36,78,0.462,24,53,0.453,12,25,0.48,12,17,0.706,96,240,7,28,35,10,33,43
30,ATL,2017-12-18,83,10,25,,MIA,W 110-104,240,25,8,6,12,23,19,9,6,19,28,240,38,83,0.458,30,61,0.492,8,22,0.364,26,31,0.839,110,36,79,0.456,29,54,0.537,7,25,0.28,25,30,0.833,104,240,10,29,39,8,34,42
31,ATL,2017-12-20,81,11,27,,IND,L 95-105,240,27,5,6,13,17,19,5,5,9,18,240,35,81,0.432,27,52,0.519,8,29,0.276,17,20,0.85,95,40,82,0.488,33,61,0.541,7,21,0.333,18,19,0.947,105,240,11,32,43,8,29,37
32,ATL,2017-12-22,85,7,28,@,OKC,L 117-120,240,28,12,3,15,24,24,11,5,19,18,240,44,85,0.518,29,53,0.547,15,32,0.469,14,17,0.824,117,44,82,0.537,31,57,0.544,13,25,0.52,19,31,0.613,120,240,7,20,27,15,25,40
33,ATL,2017-12-23,75,6,29,,DAL,W 112-107,240,29,5,2,15,19,31,8,3,10,17,240,42,75,0.56,32,51,0.627,10,24,0.417,18,22,0.818,112,43,85,0.506,34,52,0.654,9,33,0.273,12,15,0.8,107,240,6,32,38,7,23,30
34,ATL,2017-12-27,94,16,28,,WAS,W 113-99,240,28,7,7,11,21,24,6,5,13,24,240,41,94,0.436,30,57,0.526,11,37,0.297,20,29,0.69,113,35,81,0.432,26,57,0.456,9,24,0.375,20,26,0.769,99,240,16,37,53,9,31,40
35,ATL,2017-12-29,88,14,21,@,TOR,L 98-111,240,21,6,7,18,15,22,9,15,11,22,240,38,88,0.432,29,64,0.453,9,24,0.375,13,20,0.65,98,46,105,0.438,33,68,0.485,13,37,0.351,6,8,0.75,111,240,14,34,48,19,32,51
36,ATL,2017-12-30,89,13,29,,POR,W 104-89,240,29,12,3,13,16,19,9,8,20,18,240,40,89,0.449,26,59,0.441,14,30,0.467,10,15,0.667,104,36,85,0.424,29,60,0.483,7,25,0.28,10,13,0.769,89,240,13,32,45,15,31,46
37,ATL,2018-01-02,87,17,18,@,PHO,L 103-104,240,18,11,3,16,22,24,7,4,21,22,240,36,87,0.414,26,56,0.464,10,31,0.323,21,25,0.84,103,39,77,0.506,32,55,0.582,7,22,0.318,19,26,0.731,104,240,17,23,40,11,36,47
38,ATL,2018-01-05,83,11,14,@,POR,L 89-110,240,14,7,5,16,16,30,11,5,15,20,240,30,83,0.361,22,57,0.386,8,26,0.308,21,25,0.84,89,43,80,0.538,30,50,0.6,13,30,0.433,11,14,0.786,110,240,11,28,39,6,38,44
39,ATL,2018-01-07,94,10,22,@,LAL,L 113-132,240,22,5,4,15,16,32,13,6,18,25,240,41,94,0.436,29,60,0.483,12,34,0.353,19,23,0.826,113,48,86,0.558,32,50,0.64,16,36,0.444,20,25,0.8,132,240,10,27,37,6,43,49
40,ATL,2018-01-08,96,19,20,@,LAC,L 107-108,240,20,9,8,14,26,16,10,9,16,25,240,38,96,0.396,28,59,0.475,10,37,0.27,21,29,0.724,107,38,85,0.447,29,67,0.433,9,18,0.5,23,34,0.676,108,240,19,37,56,14,33,47
41,ATL,2018-01-10,80,6,25,@,DEN,W 110-97,240,25,6,4,16,23,27,13,6,12,18,240,40,80,0.5,28,53,0.528,12,27,0.444,18,18,1,110,38,95,0.4,29,58,0.5,9,37,0.243,12,20,0.6,97,240,6,38,44,14,26,40
42,ATL,2018-01-12,80,8,21,,BRK,L 105-110,240,21,6,3,18,25,29,8,1,14,24,240,37,80,0.463,26,52,0.5,11,28,0.393,20,26,0.769,105,40,87,0.46,27,53,0.509,13,34,0.382,17,26,0.654,110,240,8,38,46,13,30,43
43,ATL,2018-01-15,86,11,23,,SAS,W 102-99,240,23,8,2,15,23,24,12,5,9,13,240,40,86,0.465,31,61,0.508,9,25,0.36,13,14,0.929,102,37,87,0.425,29,65,0.446,8,22,0.364,17,20,0.85,99,240,11,39,50,8,29,37
