Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2013-10-30,37,33,27,@,DAL,L 109-118,240,27,16,5,17,20,31,7,2,20,22,240,37,76,0.487,29,52,0.558,8,24,0.333,27,35,0.771,109,44,77,0.571,33,53,0.623,11,24,0.458,19,24,0.792,118,240,5,28,33,7,35,42
2,ATL,2013-11-01,36,37,24,,TOR,W 102-95,240,24,7,3,13,12,15,5,6,12,25,240,36,77,0.468,26,54,0.481,10,23,0.435,20,31,0.645,102,40,88,0.455,33,65,0.508,7,23,0.304,8,14,0.571,95,240,7,30,37,10,32,42
3,ATL,2013-11-03,40,52,26,@,LAL,L 103-105,240,26,9,3,11,22,27,5,7,13,24,240,40,90,0.444,31,68,0.456,9,22,0.409,14,26,0.538,103,38,89,0.427,29,64,0.453,9,25,0.36,20,24,0.833,105,240,10,42,52,6,47,53
4,ATL,2013-11-05,39,36,26,@,SAC,W 105-100,240,26,11,7,14,15,22,10,4,18,26,240,39,81,0.481,31,59,0.525,8,22,0.364,19,26,0.731,105,35,80,0.438,25,49,0.51,10,31,0.323,20,21,0.952,100,240,9,27,36,10,29,39
5,ATL,2013-11-07,43,46,31,@,DEN,L 107-109,240,31,11,9,11,23,28,4,8,16,18,240,43,94,0.457,35,68,0.515,8,26,0.308,13,19,0.684,107,42,86,0.488,28,61,0.459,14,25,0.56,11,17,0.647,109,240,13,33,46,10,35,45
6,ATL,2013-11-09,43,39,36,,ORL,W 104-94,240,36,9,6,12,15,22,9,2,17,24,240,43,90,0.478,37,71,0.521,6,19,0.316,12,17,0.706,104,38,82,0.463,30,65,0.462,8,17,0.471,10,18,0.556,94,240,7,32,39,9,27,36
7,ATL,2013-11-11,35,41,26,@,CHA,W 103-94,240,26,7,3,13,22,22,4,0,14,24,240,35,76,0.461,25,49,0.51,10,27,0.37,23,28,0.821,103,33,81,0.407,28,68,0.412,5,13,0.385,23,29,0.793,94,240,6,35,41,10,30,40
8,ATL,2013-11-13,35,47,22,,NYK,L 91-95,240,22,1,6,15,15,24,11,3,3,19,240,35,77,0.455,30,53,0.566,5,24,0.208,16,21,0.762,91,37,88,0.42,25,54,0.463,12,34,0.353,9,13,0.692,95,240,8,39,47,8,29,37
9,ATL,2013-11-15,39,43,25,,PHI,W 113-103,240,25,6,5,15,23,21,6,4,16,19,240,39,81,0.481,29,58,0.5,10,23,0.435,25,31,0.806,113,40,86,0.465,35,67,0.522,5,19,0.263,18,23,0.783,103,240,6,37,43,9,30,39
10,ATL,2013-11-16,44,36,20,@,NYK,W 110-90,240,20,9,4,13,15,19,6,3,14,20,240,44,78,0.564,35,56,0.625,9,22,0.409,13,17,0.765,110,34,90,0.378,24,60,0.4,10,30,0.333,12,16,0.75,90,240,5,31,36,19,29,48
11,ATL,2013-11-19,33,39,22,@,MIA,L 88-104,240,22,8,3,24,21,26,13,4,15,17,240,33,74,0.446,22,50,0.44,11,24,0.458,11,15,0.733,88,41,81,0.506,31,60,0.517,10,21,0.476,12,19,0.632,104,240,13,26,39,10,27,37
12,ATL,2013-11-20,36,38,23,,DET,W 93-85,240,23,11,8,21,12,17,13,5,15,21,240,36,71,0.507,32,56,0.571,4,15,0.267,17,24,0.708,93,35,87,0.402,29,65,0.446,6,22,0.273,9,12,0.75,85,240,5,33,38,15,28,43
13,ATL,2013-11-22,37,46,20,@,DET,W 96-89,240,20,10,2,14,14,19,8,7,15,16,240,37,85,0.435,29,62,0.468,8,23,0.348,14,21,0.667,96,36,84,0.429,33,71,0.465,3,13,0.231,14,22,0.636,89,240,11,35,46,11,41,52
14,ATL,2013-11-23,36,38,23,,BOS,L 87-94,240,23,8,3,8,26,18,3,7,17,14,240,36,93,0.387,31,73,0.425,5,20,0.25,10,12,0.833,87,33,72,0.458,29,56,0.518,4,16,0.25,24,31,0.774,94,240,12,26,38,7,40,47
15,ATL,2013-11-26,30,35,22,,ORL,L 92-109,240,22,7,5,14,19,29,8,3,12,20,240,30,73,0.411,21,51,0.412,9,22,0.409,23,27,0.852,92,42,83,0.506,34,61,0.557,8,22,0.364,17,20,0.85,109,240,4,31,35,6,37,43
16,ATL,2013-11-27,32,32,21,@,HOU,L 84-113,240,21,8,4,18,24,25,8,3,13,17,240,32,75,0.427,24,53,0.453,8,22,0.364,12,15,0.8,84,43,78,0.551,29,51,0.569,14,27,0.519,13,21,0.619,113,240,6,26,32,8,34,42
17,ATL,2013-11-29,31,43,19,,DAL,W 88-87,240,19,10,4,16,16,17,9,4,18,21,240,31,73,0.425,28,58,0.483,3,15,0.2,23,30,0.767,88,29,77,0.377,20,53,0.377,9,24,0.375,20,21,0.952,87,240,9,34,43,10,34,44
18,ATL,2013-11-30,36,40,19,@,WAS,L 101-108,240,19,7,6,16,18,24,12,5,16,20,240,36,81,0.444,29,64,0.453,7,17,0.412,22,26,0.846,101,38,78,0.487,26,54,0.481,12,24,0.5,20,30,0.667,108,240,9,31,40,6,32,38
19,ATL,2013-12-02,42,39,22,@,SAS,L 100-102,240,22,10,2,10,19,27,6,8,17,10,240,42,96,0.438,31,65,0.477,11,31,0.355,5,5,1,100,42,78,0.538,36,60,0.6,6,18,0.333,12,17,0.706,102,240,10,29,39,9,39,48
20,ATL,2013-12-04,42,40,28,,LAC,W 107-97,240,28,4,4,11,22,22,4,2,12,16,240,42,82,0.512,30,59,0.508,12,23,0.522,11,16,0.688,107,39,83,0.47,35,64,0.547,4,19,0.211,15,20,0.75,97,240,8,32,40,7,29,36
21,ATL,2013-12-06,47,50,31,,CLE,W 108-89,240,31,6,3,12,18,19,4,2,11,11,240,47,91,0.516,39,68,0.574,8,23,0.348,6,11,0.545,108,38,94,0.404,33,74,0.446,5,20,0.25,8,17,0.471,89,240,14,36,50,16,31,47
22,ATL,2013-12-10,31,45,24,,OKC,L 92-101,240,24,10,5,15,22,27,8,7,16,19,240,31,87,0.356,22,61,0.361,9,26,0.346,21,27,0.778,92,38,86,0.442,34,68,0.5,4,18,0.222,21,28,0.75,101,240,12,33,45,10,44,54
23,ATL,2013-12-13,38,46,27,,WAS,W 101-99 (OT),265,27,10,1,15,14,26,4,3,17,20,265,38,89,0.427,31,68,0.456,7,21,0.333,18,24,0.75,101,42,100,0.42,38,86,0.442,4,14,0.286,11,18,0.611,99,265,11,35,46,18,42,60
24,ATL,2013-12-14,40,34,22,@,NYK,L 106-111,240,22,6,1,27,24,19,14,1,11,16,240,40,66,0.606,25,34,0.735,15,32,0.469,11,11,1,106,44,87,0.506,36,68,0.529,8,19,0.421,15,18,0.833,111,240,6,28,34,15,17,32
25,ATL,2013-12-16,45,44,34,,LAL,W 114-100,240,34,10,6,10,18,18,6,4,14,16,240,45,92,0.489,34,65,0.523,11,27,0.407,13,15,0.867,114,39,82,0.476,34,61,0.557,5,21,0.238,17,21,0.81,100,240,15,29,44,12,31,43
26,ATL,2013-12-18,47,44,38,,SAC,W 124-107,240,38,7,6,16,21,25,6,1,13,20,240,47,81,0.58,32,56,0.571,15,25,0.6,15,18,0.833,124,40,84,0.476,34,69,0.493,6,15,0.4,21,25,0.84,107,240,9,35,44,7,26,33
27,ATL,2013-12-20,45,46,32,,UTA,W 118-85,240,32,10,7,10,20,21,6,8,15,17,240,45,86,0.523,35,60,0.583,10,26,0.385,18,24,0.75,118,35,94,0.372,32,76,0.421,3,18,0.167,12,15,0.8,85,240,10,36,46,17,32,49
28,ATL,2013-12-23,44,46,29,@,MIA,L 119-121 (OT),265,29,7,4,18,26,20,8,6,13,19,265,44,91,0.484,27,57,0.474,17,34,0.5,14,19,0.737,119,46,91,0.505,36,62,0.581,10,29,0.345,19,29,0.655,121,265,13,33,46,13,31,44
29,ATL,2013-12-26,51,42,33,@,CLE,W 127-125 (2OT),290,33,13,5,21,24,22,9,8,22,19,290,51,103,0.495,40,69,0.58,11,34,0.324,14,19,0.737,127,49,94,0.521,41,73,0.562,8,21,0.381,19,26,0.731,125,290,10,32,42,11,34,45
30,ATL,2013-12-28,37,52,29,,CHA,W 118-116 (OT),265,29,8,6,12,16,26,6,4,10,27,265,37,91,0.407,21,52,0.404,16,39,0.41,28,34,0.824,118,45,104,0.433,35,78,0.449,10,26,0.385,16,22,0.727,116,265,6,46,52,12,43,55
31,ATL,2013-12-29,36,36,20,@,ORL,L 102-109,240,20,9,3,13,23,30,10,3,17,20,240,36,81,0.444,21,42,0.5,15,39,0.385,15,21,0.714,102,41,74,0.554,33,53,0.623,8,21,0.381,19,24,0.792,109,240,7,29,36,4,36,40
32,ATL,2013-12-31,33,51,21,@,BOS,W 92-91,240,21,7,4,14,15,28,6,7,15,22,240,33,91,0.363,28,62,0.452,5,29,0.172,21,25,0.84,92,35,84,0.417,30,64,0.469,5,20,0.25,16,17,0.941,91,240,15,36,51,8,39,47
33,ATL,2014-01-03,37,41,23,,GSW,L 100-101,240,23,15,4,19,19,30,15,7,21,17,240,37,80,0.463,27,49,0.551,10,31,0.323,16,19,0.842,100,39,87,0.448,33,60,0.55,6,27,0.222,17,25,0.68,101,240,7,34,41,13,34,47
34,ATL,2014-01-04,32,43,21,@,CHI,L 84-91,240,21,9,8,15,20,19,12,12,13,15,240,32,86,0.372,24,58,0.414,8,28,0.286,12,14,0.857,84,33,81,0.407,27,64,0.422,6,17,0.353,19,24,0.792,91,240,17,26,43,20,32,52
35,ATL,2014-01-06,27,39,21,@,BRK,L 86-91,240,21,5,4,18,23,17,10,5,11,25,240,27,70,0.386,19,46,0.413,8,24,0.333,24,26,0.923,86,33,80,0.413,25,53,0.472,8,27,0.296,17,26,0.654,91,240,10,29,39,15,28,43
36,ATL,2014-01-08,34,34,27,,IND,W 97-87,240,27,8,3,10,14,19,7,4,16,21,240,34,75,0.453,24,52,0.462,10,23,0.435,19,22,0.864,97,35,87,0.402,26,60,0.433,9,27,0.333,8,9,0.889,87,240,6,28,34,14,32,46
37,ATL,2014-01-10,32,40,25,,HOU,W 83-80,240,25,9,5,12,17,15,3,2,16,18,240,32,86,0.372,23,54,0.426,9,32,0.281,10,11,0.909,83,29,70,0.414,23,51,0.451,6,19,0.316,16,22,0.727,80,240,13,27,40,10,34,44
38,ATL,2014-01-12,38,38,25,@,MEM,L 101-108,240,25,9,2,15,16,26,13,6,11,17,240,38,80,0.475,29,53,0.547,9,27,0.333,16,24,0.667,101,43,83,0.518,37,68,0.544,6,15,0.4,16,20,0.8,108,240,9,29,38,8,32,40
39,ATL,2014-01-16,40,28,26,,BRK,L 110-127,240,26,10,7,15,12,38,7,4,17,21,240,40,81,0.494,32,56,0.571,8,25,0.32,22,22,1,110,53,91,0.582,37,64,0.578,16,27,0.593,5,7,0.714,127,240,7,21,28,12,28,40
