Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,DEN,2023-10-24,91,42,29,,LAL,W 119-107,240,29,9,6,11,15,23,5,4,11,18,240,48,91,0.527,34,57,0.596,14,34,0.412,9,12,0.75,119,41,90,0.456,31,61,0.508,10,29,0.345,15,20,0.75,107,240,9,33,42,13,31,44
1,GSW,2023-10-24,101,49,19,,PHO,L 104-108,240,19,11,6,11,23,23,5,7,19,22,240,36,101,0.356,26,58,0.448,10,43,0.233,22,28,0.786,104,42,95,0.442,31,62,0.5,11,33,0.333,13,17,0.765,108,240,18,31,49,17,43,60
1,LAL,2023-10-24,90,44,23,@,DEN,L 107-119,240,23,5,4,11,18,29,9,6,11,15,240,41,90,0.456,31,61,0.508,10,29,0.345,15,20,0.75,107,48,91,0.527,34,57,0.596,14,34,0.412,9,12,0.75,119,240,13,31,44,9,33,42
1,PHO,2023-10-24,95,60,23,@,GSW,W 108-104,240,23,5,7,19,22,19,11,6,11,23,240,42,95,0.442,31,62,0.5,11,33,0.333,13,17,0.765,108,36,101,0.356,26,58,0.448,10,43,0.233,22,28,0.786,104,240,17,43,60,18,31,49
1,ATL,2023-10-25,93,42,24,@,CHO,L 110-116,240,24,12,1,12,19,34,5,3,19,21,240,39,93,0.419,34,64,0.531,5,29,0.172,27,33,0.818,110,43,86,0.5,32,49,0.653,11,37,0.297,19,26,0.731,116,240,12,30,42,12,39,51
1,BOS,2023-10-25,77,46,18,@,NYK,W 108-104,240,18,6,11,13,22,24,9,0,9,22,240,37,77,0.481,25,38,0.658,12,39,0.308,22,26,0.846,108,36,97,0.371,18,56,0.321,18,41,0.439,14,26,0.538,104,240,7,39,46,17,30,47
1,BRK,2023-10-25,84,50,30,,CLE,L 113-114,240,30,6,6,17,16,25,10,6,10,23,240,42,84,0.5,33,57,0.579,9,27,0.333,20,26,0.769,113,44,94,0.468,27,51,0.529,17,43,0.395,9,10,0.9,114,240,13,37,50,9,29,38
1,CHO,2023-10-25,86,51,34,,ATL,W 116-110,240,34,5,3,19,21,24,12,1,12,19,240,43,86,0.5,32,49,0.653,11,37,0.297,19,26,0.731,116,39,93,0.419,34,64,0.531,5,29,0.172,27,33,0.818,110,240,12,39,51,12,30,42
1,CHI,2023-10-25,94,42,26,,OKC,L 104-124,240,26,10,3,12,16,30,6,4,15,19,240,39,94,0.415,27,52,0.519,12,42,0.286,14,18,0.778,104,45,82,0.549,26,43,0.605,19,39,0.487,15,18,0.833,124,240,13,29,42,5,38,43
1,CLE,2023-10-25,94,38,25,@,BRK,W 114-113,240,25,10,6,10,23,30,6,6,17,16,240,44,94,0.468,27,51,0.529,17,43,0.395,9,10,0.9,114,42,84,0.5,33,57,0.579,9,27,0.333,20,26,0.769,113,240,9,29,38,13,37,50
1,DAL,2023-10-25,99,48,24,@,SAS,W 126-119,240,24,6,3,12,20,33,8,5,19,23,240,47,99,0.475,32,52,0.615,15,47,0.319,17,23,0.739,126,46,89,0.517,35,54,0.648,11,35,0.314,16,22,0.727,119,240,13,35,48,9,36,45
1,DET,2023-10-25,92,56,28,@,MIA,L 102-103,240,28,3,13,16,23,22,11,3,7,18,240,41,92,0.446,30,60,0.5,11,32,0.344,9,15,0.6,102,37,92,0.402,29,70,0.414,8,22,0.364,21,26,0.808,103,240,17,39,56,16,32,48
1,HOU,2023-10-25,79,31,19,@,ORL,L 86-116,240,19,6,3,18,24,19,8,6,14,20,240,32,79,0.405,20,45,0.444,12,34,0.353,10,16,0.625,86,42,87,0.483,33,53,0.623,9,34,0.265,23,26,0.885,116,240,7,24,31,17,40,57
1,IND,2023-10-25,107,51,38,,WAS,W 143-120,240,38,10,8,12,23,28,6,9,14,11,240,56,107,0.523,36,64,0.563,20,43,0.465,11,12,0.917,143,44,96,0.458,35,72,0.486,9,24,0.375,23,29,0.793,120,240,10,41,51,11,34,45
1,LAC,2023-10-25,90,45,36,,POR,W 123-111,240,36,11,7,17,20,20,10,4,17,20,240,47,90,0.522,31,56,0.554,16,34,0.471,13,16,0.813,123,44,93,0.473,34,61,0.557,10,32,0.313,13,17,0.765,111,240,14,31,45,15,25,40
1,MEM,2023-10-25,91,37,23,,NOP,L 104-111,240,23,8,7,13,19,22,8,5,21,21,240,38,91,0.418,26,48,0.542,12,43,0.279,16,20,0.8,104,40,85,0.471,26,53,0.491,14,32,0.438,17,22,0.773,111,240,8,29,37,11,41,52
1,MIA,2023-10-25,92,48,22,,DET,W 103-102,240,22,11,3,7,18,28,3,13,16,23,240,37,92,0.402,29,70,0.414,8,22,0.364,21,26,0.808,103,41,92,0.446,30,60,0.5,11,32,0.344,9,15,0.6,102,240,16,32,48,17,39,56
1,MIN,2023-10-25,100,62,20,@,TOR,L 94-97,240,20,8,9,14,14,27,9,11,14,18,240,34,100,0.34,26,69,0.377,8,31,0.258,18,22,0.818,94,36,90,0.4,22,55,0.4,14,35,0.4,11,16,0.688,97,240,16,46,62,8,39,47
1,NOP,2023-10-25,85,52,22,@,MEM,W 111-104,240,22,8,5,21,21,23,8,7,13,19,240,40,85,0.471,26,53,0.491,14,32,0.438,17,22,0.773,111,38,91,0.418,26,48,0.542,12,43,0.279,16,20,0.8,104,240,11,41,52,8,29,37
1,NYK,2023-10-25,97,47,24,,BOS,L 104-108,240,24,9,0,9,22,18,6,11,13,22,240,36,97,0.371,18,56,0.321,18,41,0.439,14,26,0.538,104,37,77,0.481,25,38,0.658,12,39,0.308,22,26,0.846,108,240,17,30,47,7,39,46
1,OKC,2023-10-25,82,43,30,@,CHI,W 124-104,240,30,6,4,15,19,26,10,3,12,16,240,45,82,0.549,26,43,0.605,19,39,0.487,15,18,0.833,124,39,94,0.415,27,52,0.519,12,42,0.286,14,18,0.778,104,240,5,38,43,13,29,42
1,ORL,2023-10-25,87,57,19,,HOU,W 116-86,240,19,8,6,14,20,19,6,3,18,24,240,42,87,0.483,33,53,0.623,9,34,0.265,23,26,0.885,116,32,79,0.405,20,45,0.444,12,34,0.353,10,16,0.625,86,240,17,40,57,7,24,31
1,POR,2023-10-25,93,40,20,@,LAC,L 111-123,240,20,10,4,17,20,36,11,7,17,20,240,44,93,0.473,34,61,0.557,10,32,0.313,13,17,0.765,111,47,90,0.522,31,56,0.554,16,34,0.471,13,16,0.813,123,240,15,25,40,14,31,45
1,SAC,2023-10-25,102,45,29,@,UTA,W 130-114,240,29,6,8,11,25,22,6,2,14,20,240,47,102,0.461,28,51,0.549,19,51,0.373,17,20,0.85,130,41,91,0.451,32,63,0.508,9,28,0.321,23,31,0.742,114,240,15,30,45,16,38,54
1,SAS,2023-10-25,89,45,33,,DAL,L 119-126,240,33,8,5,19,23,24,6,3,12,20,240,46,89,0.517,35,54,0.648,11,35,0.314,16,22,0.727,119,47,99,0.475,32,52,0.615,15,47,0.319,17,23,0.739,126,240,9,36,45,13,35,48
1,TOR,2023-10-25,90,47,27,,MIN,W 97-94,240,27,9,11,14,18,20,8,9,14,14,240,36,90,0.4,22,55,0.4,14,35,0.4,11,16,0.688,97,34,100,0.34,26,69,0.377,8,31,0.258,18,22,0.818,94,240,8,39,47,16,46,62
1,UTA,2023-10-25,91,54,22,,SAC,L 114-130,240,22,6,2,14,20,29,6,8,11,25,240,41,91,0.451,32,63,0.508,9,28,0.321,23,31,0.742,114,47,102,0.461,28,51,0.549,19,51,0.373,17,20,0.85,130,240,16,38,54,15,30,45
1,WAS,2023-10-25,96,45,28,@,IND,L 120-143,240,28,6,9,14,11,38,10,8,12,23,240,44,96,0.458,35,72,0.486,9,24,0.375,23,29,0.793,120,56,107,0.523,36,64,0.563,20,43,0.465,11,12,0.917,143,240,11,34,45,10,41,51
2,LAL,2023-10-26,84,42,24,,PHO,W 100-95,240,24,14,7,16,23,16,7,3,20,21,240,36,84,0.429,31,55,0.564,5,29,0.172,23,29,0.793,100,34,81,0.42,25,50,0.5,9,31,0.29,18,23,0.783,95,240,8,34,42,10,39,49
1,MIL,2023-10-26,81,43,20,,PHI,W 118-117,240,20,9,4,14,23,25,8,4,15,28,240,41,81,0.506,30,51,0.588,11,30,0.367,25,36,0.694,118,41,80,0.513,25,45,0.556,16,35,0.457,19,28,0.679,117,240,8,35,43,4,35,39
1,PHI,2023-10-26,80,39,25,@,MIL,L 117-118,240,25,8,4,15,28,20,9,4,14,23,240,41,80,0.513,25,45,0.556,16,35,0.457,19,28,0.679,117,41,81,0.506,30,51,0.588,11,30,0.367,25,36,0.694,118,240,4,35,39,8,35,43
2,PHO,2023-10-26,81,49,16,@,LAL,L 95-100,240,16,7,3,20,21,24,14,7,16,23,240,34,81,0.42,25,50,0.5,9,31,0.29,18,23,0.783,95,36,84,0.429,31,55,0.564,5,29,0.172,23,29,0.793,100,240,10,39,49,8,34,42
2,ATL,2023-10-27,87,44,28,,NYK,L 120-126,240,28,7,6,14,20,30,9,6,16,21,240,42,87,0.483,30,55,0.545,12,32,0.375,24,30,0.8,120,43,90,0.478,23,46,0.5,20,44,0.455,20,28,0.714,126,240,9,35,44,12,33,45
2,BOS,2023-10-27,95,55,20,,MIA,W 119-111,240,20,7,6,15,19,24,8,6,12,16,240,45,95,0.474,29,56,0.518,16,39,0.41,13,19,0.684,119,38,89,0.427,22,56,0.393,16,33,0.485,19,23,0.826,111,240,16,39,55,11,34,45
2,BRK,2023-10-27,92,47,30,@,DAL,L 120-125,240,30,5,4,15,28,20,5,2,9,15,240,45,92,0.489,24,49,0.49,21,43,0.488,9,10,0.9,120,44,91,0.484,29,55,0.527,15,36,0.417,22,28,0.786,125,240,10,37,47,8,32,40
2,CHO,2023-10-27,88,41,20,,DET,L 99-111,240,20,13,7,18,23,28,7,6,23,29,240,33,88,0.375,26,60,0.433,7,28,0.25,26,34,0.765,99,40,88,0.455,30,58,0.517,10,30,0.333,21,25,0.84,111,240,11,30,41,12,41,53
2,CHI,2023-10-27,99,52,18,,TOR,W 104-103 (OT),265,18,10,5,16,22,25,5,2,21,29,265,37,99,0.374,29,60,0.483,8,39,0.205,22,28,0.786,104,39,84,0.464,30,48,0.625,9,36,0.25,16,25,0.64,103,265,15,37,52,8,45,53
2,CLE,2023-10-27,92,48,20,,OKC,L 105-108,240,20,10,8,13,16,22,8,10,18,17,240,38,92,0.413,26,47,0.553,12,45,0.267,17,23,0.739,105,40,87,0.46,27,61,0.443,13,26,0.5,15,19,0.789,108,240,8,40,48,6,41,47
